siteID,plotID,plotType,nlcdClass,elevation,collectDate,eventID,sampleID,samplingMethod,adultCount,nymphCount,larvaCount
HARV,HARV_022,distributed,evergreenForest,185.9,2016-04-14T16:30:00Z,HARV.2016.15,NA,drag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-04-14T17:19:00Z,HARV.2016.15,NA,drag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-04-14T18:02:00Z,HARV.2016.15,NA,drag and flag,0,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-04-14T18:43:00Z,HARV.2016.15,HARV_004.20160414,drag and flag,2,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-04-15T13:36:00Z,HARV.2016.15,NA,drag and flag,0,0,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-04-15T14:40:00Z,HARV.2016.15,NA,drag and flag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-06-16T13:24:00Z,HARV.2016.24,HARV_022.20160616,drag and flag,0,5,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-06-16T14:28:00Z,HARV.2016.24,HARV_004.20160616,drag and flag,0,9,6
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-06-16T15:39:00Z,HARV.2016.24,HARV_020.20160616,drag and flag,0,4,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-06-16T16:25:00Z,HARV.2016.24,HARV_026.20160616,drag and flag,0,1,162
HARV,HARV_006,distributed,deciduousForest,190.8,2016-06-16T17:25:00Z,HARV.2016.24,HARV_006.20160616,drag and flag,0,0,1
HARV,HARV_001,distributed,deciduousForest,202.1,2016-06-16T18:21:00Z,HARV.2016.24,HARV_001.20160616,drag and flag,0,4,5
HARV,HARV_022,distributed,evergreenForest,185.9,2016-07-07T12:33:00Z,HARV.2016.27,HARV_022.20160707,drag and flag,0,5,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-07-07T14:11:00Z,HARV.2016.27,HARV_001.20160707,drag and flag,0,2,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-07-07T15:28:00Z,HARV.2016.27,HARV_020.20160707,drag and flag,1,6,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-07-07T16:24:00Z,HARV.2016.27,HARV_004.20160707,drag and flag,1,3,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-07-07T17:14:00Z,HARV.2016.27,HARV_026.20160707,drag and flag,3,1,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-07-07T18:09:00Z,HARV.2016.27,HARV_006.20160707,drag and flag,1,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-07-27T12:30:00Z,HARV.2016.30,HARV_022.20160727,drag and flag,0,1,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-07-27T13:35:00Z,HARV.2016.30,HARV_004.20160727,drag and flag,0,1,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-07-27T14:17:00Z,HARV.2016.30,NA,drag and flag,0,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-07-27T15:54:00Z,HARV.2016.30,NA,drag and flag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-07-27T16:55:00Z,HARV.2016.30,NA,drag and flag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-07-27T17:30:00Z,HARV.2016.30,NA,drag and flag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-05-06T15:17:00Z,HARV.2016.18,HARV_022.20160506,drag and flag,1,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-05-06T16:30:00Z,HARV.2016.18,HARV_004.20160506,drag and flag,1,0,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-05-06T17:09:00Z,HARV.2016.18,NA,drag and flag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-05-06T17:50:00Z,HARV.2016.18,NA,drag and flag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-05-10T13:54:00Z,HARV.2016.19,NA,drag and flag,0,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-05-10T15:15:00Z,HARV.2016.19,NA,drag and flag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-05-26T13:19:00Z,HARV.2016.21,HARV_022.20160526,drag and flag,0,10,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-05-26T14:20:00Z,HARV.2016.21,HARV_004.20160526,drag and flag,1,8,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-05-26T15:17:00Z,HARV.2016.21,HARV_020.20160526,drag and flag,1,4,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-05-26T16:38:00Z,HARV.2016.21,HARV_001.20160526,drag and flag,0,6,2
HARV,HARV_006,distributed,deciduousForest,190.8,2016-05-26T17:25:00Z,HARV.2016.21,HARV_006.20160526,drag and flag,0,0,13
HARV,HARV_026,distributed,evergreenForest,187.3,2016-05-26T18:04:00Z,HARV.2016.21,HARV_026.20160526,drag and flag,0,1,5
HARV,HARV_006,distributed,deciduousForest,190.8,2016-08-18T13:11:00Z,HARV.2016.33,HARV_006.20160818,drag and flag,0,0,6
HARV,HARV_026,distributed,evergreenForest,187.3,2016-08-18T13:56:00Z,HARV.2016.33,HARV_026.20160818,drag and flag,0,2,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-08-18T15:00:00Z,HARV.2016.33,HARV_001.20160818,drag and flag,0,1,80
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-08-18T17:00:00Z,HARV.2016.33,HARV_020.20160818,drag and flag,0,1,5
HARV,HARV_004,distributed,mixedForest,182.6,2016-08-18T17:40:00Z,HARV.2016.33,HARV_004.20160818,drag and flag,0,1,5
HARV,HARV_022,distributed,evergreenForest,185.9,2016-08-18T18:26:00Z,HARV.2016.33,HARV_022.20160818,drag and flag,0,2,452
HARV,HARV_022,distributed,evergreenForest,185.9,2016-09-08T12:25:00Z,HARV.2016.36,NA,drag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-09-08T13:39:00Z,HARV.2016.36,NA,drag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-09-08T14:15:00Z,HARV.2016.36,NA,drag and flag,0,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-09-08T15:53:00Z,HARV.2016.36,NA,drag,0,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-09-08T17:00:00Z,HARV.2016.36,NA,drag,0,0,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-09-08T17:53:00Z,HARV.2016.36,HARV_020.20160908,drag,0,1,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-09-29T12:17:00Z,HARV.2016.39,NA,drag and flag,0,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-09-29T13:12:00Z,HARV.2016.39,NA,drag and flag,0,0,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-09-29T13:49:00Z,HARV.2016.39,NA,drag and flag,0,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-09-29T14:36:00Z,HARV.2016.39,NA,drag and flag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-09-29T15:19:00Z,HARV.2016.39,NA,drag and flag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-09-29T15:49:00Z,HARV.2016.39,NA,drag and flag,0,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-10-26T12:15:00Z,HARV.2016.43,HARV_004.20161026,drag,1,0,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-10-26T13:20:00Z,HARV.2016.43,NA,drag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-10-26T14:30:00Z,HARV.2016.43,NA,drag and flag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-10-26T15:30:00Z,HARV.2016.43,HARV_006.20161026,drag,0,98,0
HARV,HARV_001,distributed,deciduousForest,202.1,2016-10-26T17:00:00Z,HARV.2016.43,NA,drag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-10-26T18:15:00Z,HARV.2016.43,NA,drag,0,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2016-11-07T14:52:00Z,HARV.2016.45,HARV_004.20161107,drag,2,0,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2016-11-07T15:50:00Z,HARV.2016.45,NA,drag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2016-11-07T16:44:00Z,HARV.2016.45,HARV_026.20161107,drag and flag,3,1,0
HARV,HARV_006,distributed,deciduousForest,190.8,2016-11-07T17:40:00Z,HARV.2016.45,HARV_006.20161107,drag,0,0,45
HARV,HARV_001,distributed,deciduousForest,202.1,2016-11-07T19:00:00Z,HARV.2016.45,NA,drag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2016-11-07T20:10:00Z,HARV.2016.45,NA,drag and flag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2017-04-17T13:20:00Z,HARV.2017.16,NA,drag,0,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2017-04-17T14:53:00Z,HARV.2017.16,HARV_006.20170417,drag,0,1,0
HARV,HARV_026,distributed,evergreenForest,187.3,2017-04-17T16:34:00Z,HARV.2017.16,NA,drag and flag,0,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2017-04-17T18:34:00Z,HARV.2017.16,NA,drag and flag,0,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2017-04-18T16:59:00Z,HARV.2017.16,NA,drag,0,0,0
