siteID,collectDate,positiveCount,negativeCount,totalCount,positiveProportion
BLAN,2016-05-16,13,179,192,0.07
BLAN,2016-06-06,23,297,320,0.07
BLAN,2016-06-27,6,122,128,0.05
BLAN,2017-05-08,12,172,184,0.07
BLAN,2017-06-01,24,248,272,0.09
BLAN,2017-06-19,12,84,96,0.12
BLAN,2017-06-20,0,16,16,0
BLAN,2017-07-31,4,76,80,0.05
BLAN,2018-05-14,0,32,32,0
BLAN,2018-06-07,2,86,88,0.02
BLAN,2018-06-26,0,56,56,0
BLAN,2018-08-27,0,24,24,0
BLAN,2018-09-20,0,40,40,0
BLAN,2019-06-06,0,8,8,0
BLAN,2019-07-15,0,8,8,0
BLAN,2019-08-26,0,8,8,0
BLAN,2020-09-14,0,8,8,0
BLAN,2021-04-28,0,8,8,0
BLAN,2021-05-26,3,173,176,0.02
BLAN,2021-06-17,0,96,96,0
BLAN,2021-07-08,0,8,8,0
BLAN,2021-07-26,2,30,32,0.06
BLAN,2021-08-23,2,6,8,0.25
BLAN,2021-09-07,0,8,8,0
BLAN,2022-05-23,9,168,177,0.05
BLAN,2022-06-13,7,80,87,0.08
BLAN,2022-08-18,1,10,11,0.09
BLAN,2023-03-20,0,18,18,0
BLAN,2023-05-22,11,66,77,0.14
BLAN,2023-05-24,0,18,18,0
BLAN,2023-06-13,19,146,165,0.12
BLAN,2023-07-05,3,34,37,0.08
CLBJ,2022-04-14,1,12,13,0.08
CLBJ,2023-09-28,1,12,13,0.08
HARV,2016-05-26,10,174,184,0.05
HARV,2016-06-16,4,108,112,0.04
HARV,2016-07-07,6,82,88,0.07
HARV,2017-05-30,23,153,176,0.13
HARV,2017-06-22,13,155,168,0.08
HARV,2017-07-10,11,149,160,0.07
HARV,2017-07-31,0,64,64,0
HARV,2017-08-01,4,20,24,0.17
HARV,2018-05-14,3,13,16,0.19
HARV,2018-06-06,16,56,72,0.22
HARV,2018-06-25,2,62,64,0.03
HARV,2018-06-26,4,12,16,0.25
HARV,2018-06-27,0,8,8,0
HARV,2018-07-16,5,139,144,0.03
HARV,2018-08-07,2,54,56,0.04
HARV,2018-08-27,3,29,32,0.09
HARV,2018-08-28,0,8,8,0
HARV,2018-09-20,0,8,8,0
HARV,2019-06-04,3,53,56,0.05
HARV,2019-06-05,2,30,32,0.06
HARV,2019-06-24,23,361,384,0.06
HARV,2019-07-15,2,78,80,0.03
HARV,2019-07-16,29,315,344,0.08
HARV,2019-08-05,11,117,128,0.09
HARV,2019-08-06,11,133,144,0.08
HARV,2019-08-26,9,95,104,0.09
HARV,2019-09-16,2,14,16,0.12
HARV,2019-09-17,4,52,56,0.07
HARV,2020-07-02,1,23,24,0.04
HARV,2020-07-05,2,134,136,0.01
HARV,2020-07-24,0,32,32,0
HARV,2020-07-26,2,30,32,0.06
HARV,2020-08-10,3,13,16,0.19
HARV,2020-09-04,2,38,40,0.05
HARV,2021-05-13,0,16,16,0
HARV,2021-06-23,10,70,80,0.12
HARV,2021-06-24,2,70,72,0.03
HARV,2021-07-15,6,42,48,0.12
HARV,2021-08-03,2,22,24,0.08
HARV,2021-08-04,0,16,16,0
HARV,2021-08-24,2,14,16,0.12
HARV,2021-08-26,0,16,16,0
HARV,2021-09-14,3,29,32,0.09
HARV,2021-09-15,2,6,8,0.25
HARV,2022-05-31,4,7,11,0.36
HARV,2022-06-20,4,7,11,0.36
HARV,2022-06-21,1,10,11,0.09
HARV,2022-08-24,1,10,11,0.09
HARV,2023-06-06,64,398,462,0.14
HARV,2023-06-12,11,88,99,0.11
HARV,2023-06-14,58,382,440,0.13
HARV,2023-06-26,29,191,220,0.13
HARV,2023-06-30,49,292,341,0.14
HARV,2023-07-17,10,45,55,0.18
HARV,2023-07-18,31,200,231,0.13
HARV,2023-08-07,11,66,77,0.14
HARV,2023-08-09,39,236,275,0.14
HARV,2023-08-28,14,96,110,0.13
HARV,2023-09-20,13,64,77,0.17
HARV,2023-09-21,9,79,88,0.1
MLBS,2018-07-05,0,8,8,0
MLBS,2020-06-24,0,8,8,0
MLBS,2020-06-25,0,8,8,0
MLBS,2021-06-02,0,40,40,0
MLBS,2021-07-14,2,14,16,0.12
MLBS,2021-08-25,3,29,32,0.09
MLBS,2022-08-03,1,10,11,0.09
MLBS,2023-05-10,3,30,33,0.09
STEI,2019-07-17,0,16,16,0
STEI,2020-07-30,0,8,8,0
STEI,2021-08-16,0,8,8,0
STEI,2021-09-02,0,8,8,0
STEI,2022-06-14,6,38,44,0.14
STEI,2022-07-07,1,10,11,0.09
STEI,2023-08-15,4,18,22,0.18
TREE,2016-06-08,23,369,392,0.06
TREE,2016-06-27,11,261,272,0.04
TREE,2016-07-18,14,154,168,0.08
TREE,2016-08-08,5,99,104,0.05
TREE,2017-05-25,21,219,240,0.09
TREE,2017-06-13,19,269,288,0.07
TREE,2017-07-03,11,189,200,0.06
TREE,2017-07-24,17,151,168,0.1
TREE,2018-05-29,2,14,16,0.12
TREE,2018-06-21,14,122,136,0.1
TREE,2018-06-22,15,313,328,0.05
TREE,2018-07-09,21,259,280,0.07
TREE,2018-07-30,6,106,112,0.05
TREE,2018-08-20,5,59,64,0.08
TREE,2018-09-10,7,25,32,0.22
TREE,2019-05-31,31,641,672,0.05
TREE,2019-06-17,45,659,704,0.06
TREE,2019-07-08,25,575,600,0.04
TREE,2019-07-30,22,498,520,0.04
TREE,2019-07-31,7,121,128,0.05
TREE,2019-08-19,5,27,32,0.16
TREE,2019-08-20,13,275,288,0.05
TREE,2019-09-09,12,140,152,0.08
TREE,2020-06-12,1,23,24,0.04
TREE,2020-08-14,9,71,80,0.11
TREE,2020-09-22,0,32,32,0
TREE,2021-06-10,23,217,240,0.1
TREE,2021-07-01,5,139,144,0.03
TREE,2021-07-02,6,58,64,0.09
TREE,2021-07-19,30,346,376,0.08
TREE,2021-08-12,4,36,40,0.1
TREE,2021-08-16,21,251,272,0.08
TREE,2021-08-30,18,286,304,0.06
TREE,2022-06-06,31,189,220,0.14
TREE,2022-06-08,20,123,143,0.14
TREE,2022-06-27,56,274,330,0.17
TREE,2022-07-18,37,205,242,0.15
TREE,2022-08-08,14,63,77,0.18
TREE,2022-08-29,2,20,22,0.09
TREE,2023-06-08,29,147,176,0.16
TREE,2023-06-27,63,421,484,0.13
TREE,2023-06-28,19,124,143,0.13
TREE,2023-07-18,77,451,528,0.15
TREE,2023-08-07,27,138,165,0.16
TREE,2023-08-30,18,103,121,0.15
UKFS,2016-06-02,1,551,552,0
UKFS,2016-06-23,0,560,560,0
UKFS,2016-07-14,0,88,88,0
UKFS,2016-08-04,4,620,624,0.01
UKFS,2016-08-30,0,176,176,0
UKFS,2016-09-01,1,375,376,0
UKFS,2016-09-15,0,248,248,0
UKFS,2017-04-11,0,184,184,0
UKFS,2017-05-05,0,800,800,0
UKFS,2017-05-23,0,256,256,0
UKFS,2017-06-12,2,798,800,0
UKFS,2017-07-03,1,783,784,0
UKFS,2017-07-24,0,280,280,0
UKFS,2017-08-15,0,288,288,0
UKFS,2017-09-06,2,262,264,0.01
UKFS,2017-09-25,0,136,136,0
UKFS,2018-05-01,1,175,176,0.01
UKFS,2018-05-22,2,822,824,0
UKFS,2018-06-12,0,72,72,0
UKFS,2018-07-03,0,416,416,0
UKFS,2018-07-23,0,296,296,0
UKFS,2018-08-21,0,144,144,0
UKFS,2018-08-22,0,136,136,0
UKFS,2018-09-04,0,104,104,0
UKFS,2018-09-11,0,88,88,0
UKFS,2018-09-25,1,39,40,0.03
UKFS,2019-04-16,0,72,72,0
UKFS,2019-05-13,0,216,216,0
UKFS,2019-05-15,0,176,176,0
UKFS,2019-05-28,1,191,192,0.01
UKFS,2019-05-29,0,64,64,0
UKFS,2019-06-19,3,789,792,0
UKFS,2019-06-24,0,152,152,0
UKFS,2019-07-11,0,408,408,0
UKFS,2019-07-12,1,239,240,0
UKFS,2019-07-30,3,549,552,0.01
UKFS,2019-08-19,0,232,232,0
UKFS,2019-08-20,6,250,256,0.02
UKFS,2019-09-09,0,72,72,0
UKFS,2019-09-11,2,70,72,0.03
UKFS,2019-09-12,0,56,56,0
UKFS,2019-09-30,0,8,8,0
UKFS,2020-06-16,1,1503,1504,0
UKFS,2020-07-06,2,366,368,0.01
UKFS,2020-08-03,0,24,24,0
UKFS,2020-08-04,4,252,256,0.02
UKFS,2020-08-20,1,95,96,0.01
UKFS,2020-08-21,0,176,176,0
UKFS,2020-09-14,1,271,272,0
UKFS,2020-10-01,2,30,32,0.06
UKFS,2021-05-03,0,152,152,0
UKFS,2021-05-11,0,512,512,0
UKFS,2021-05-25,2,838,840,0
UKFS,2021-06-10,0,368,368,0
UKFS,2021-06-14,4,1364,1368,0
UKFS,2021-07-06,4,1476,1480,0
UKFS,2021-07-26,2,670,672,0
UKFS,2021-07-29,0,192,192,0
UKFS,2021-08-17,1,879,880,0
UKFS,2021-09-07,2,294,296,0.01
UKFS,2021-09-09,0,232,232,0
UKFS,2021-09-27,0,8,8,0
UKFS,2021-09-28,0,32,32,0
UKFS,2022-03-21,1,12,13,0.08
UKFS,2022-05-03,10,120,130,0.08
UKFS,2022-05-16,42,465,507,0.08
UKFS,2022-05-17,85,955,1040,0.08
UKFS,2022-06-13,273,3146,3419,0.08
UKFS,2022-06-14,19,228,247,0.08
UKFS,2022-06-16,9,108,117,0.08
UKFS,2022-07-05,23,263,286,0.08
UKFS,2022-07-07,114,1225,1339,0.09
UKFS,2022-08-18,269,3111,3380,0.08
UKFS,2022-09-06,354,4222,4576,0.08
UKFS,2022-09-07,13,169,182,0.07
UKFS,2022-09-26,1,12,13,0.08
UKFS,2022-09-27,14,168,182,0.08
UKFS,2023-04-11,56,672,728,0.08
UKFS,2023-04-13,1,12,13,0.08
UKFS,2023-05-01,84,943,1027,0.08
UKFS,2023-05-04,29,322,351,0.08
UKFS,2023-05-23,151,1682,1833,0.08
UKFS,2023-06-13,192,1927,2119,0.09
UKFS,2023-07-06,147,1699,1846,0.08
UKFS,2023-07-25,26,312,338,0.08
UKFS,2023-07-27,26,312,338,0.08
UKFS,2023-07-28,100,1122,1222,0.08
UKFS,2023-08-15,112,1188,1300,0.09
UKFS,2023-09-04,68,738,806,0.08
UKFS,2023-09-05,41,440,481,0.09
UKFS,2023-09-26,28,284,312,0.09
