siteID,year,month,positiveCount,negativeCount,totalCount,positiveProportion
DELA,2018,6,0,40,40,0
DELA,2018,8,0,8,8,0
DELA,2018,9,0,8,8,0
DELA,2019,5,0,16,16,0
DELA,2019,9,0,16,16,0
HARV,2016,5,10,174,184,0.05
HARV,2016,6,4,108,112,0.04
HARV,2016,7,6,82,88,0.07
HARV,2017,5,23,153,176,0.13
HARV,2017,6,13,155,168,0.08
HARV,2017,7,11,213,224,0.05
HARV,2017,8,4,20,24,0.17
HARV,2018,5,3,13,16,0.19
HARV,2018,6,22,138,160,0.14
HARV,2018,7,5,139,144,0.03
HARV,2018,8,5,91,96,0.05
HARV,2018,9,0,8,8,0
HARV,2019,6,28,444,472,0.06
HARV,2019,7,31,393,424,0.07
HARV,2019,8,31,345,376,0.08
HARV,2019,9,6,66,72,0.08
HARV,2020,7,5,219,224,0.02
HARV,2020,8,3,13,16,0.19
HARV,2020,9,2,38,40,0.05
HARV,2021,5,0,16,16,0
HARV,2021,6,12,140,152,0.08
HARV,2021,7,6,42,48,0.12
HARV,2021,8,4,68,72,0.06
HARV,2021,9,5,35,40,0.12
HARV,2022,5,4,7,11,0.36
HARV,2022,6,5,17,22,0.23
HARV,2022,8,1,10,11,0.09
HARV,2023,6,211,1351,1562,0.14
HARV,2023,7,41,245,286,0.14
HARV,2023,8,64,398,462,0.14
HARV,2023,9,22,143,165,0.13
