siteID,year,month,mean_temp,max_temp,min_temp
DELA,2016,1,7.201910377358491,22.943,-4.62
DELA,2016,2,11.258708333333333,24.606,-2.074
DELA,2016,3,16.235800403225806,30.468,1.951
DELA,2016,4,18.87179097222222,29.825,7.531
DELA,2016,5,22.572524651661308,33.762,9.296
DELA,2016,6,26.133662152777777,35.428,17.909
DELA,2016,7,26.898795333009236,36.459,19.06
DELA,2016,8,26.531706359945872,33.045,22.568
DELA,2016,9,24.530175694444445,33.231,12.528
DELA,2016,10,19.96492741935484,30.942,6.635
DELA,2016,11,14.078798387096775,29.472,-0.785
DELA,2016,12,NA,-Inf,Inf
DELA,2017,1,NA,-Inf,Inf
DELA,2017,2,NA,-Inf,Inf
DELA,2017,3,NA,-Inf,Inf
DELA,2017,4,NA,-Inf,Inf
DELA,2017,5,24.489875,28.667,21.898
DELA,2017,6,24.031762658227848,32.358,15.353
DELA,2017,7,27.254797715053762,34.93,19.397
DELA,2017,8,26.171394790952707,35.633,18.272
DELA,2017,9,23.8605,33.259,13.207
DELA,2017,10,19.469327052489906,31.029,1.584
DELA,2017,11,13.73282074805928,27.721,-0.777
DELA,2017,12,8.391135593220339,25.6,-3.584
DELA,2018,1,5.0345899426257175,23.439,-12.428
DELA,2018,2,14.779123,28.8,-2.295
DELA,2018,3,13.911746805489825,28.961,0.668
DELA,2018,4,15.539777208706786,29.683,2.472
DELA,2018,5,23.270721934369604,33.296,12.32
DELA,2018,6,26.73360607455131,35.901,19.63
DELA,2018,7,26.900575143234907,34.168,21.033
DELA,2018,8,26.304377845884414,34.643,18.52
DELA,2018,9,26.088657988769782,35.328,18.35
DELA,2018,10,19.745143723928706,33.11,4.77
DELA,2018,11,9.915263456090651,23.389,-1.922
DELA,2018,12,9.567344855967079,25.617,-2.018
DELA,2019,1,7.638604245283019,23.109,-3.213
DELA,2019,2,13.667698140200287,27.472,0.998
DELA,2019,3,13.603502350570853,27.487,-2.413
DELA,2019,4,18.353943055555554,29.862,2.727
DELA,2019,5,23.970514756348663,33.942,13.601
DELA,2019,6,25.280206045865185,35.588,15.261
DELA,2019,7,26.248593277310924,35.93,17.187
DELA,2019,8,26.3836704851752,37.897,17.166
DELA,2019,9,26.957553819444446,36.143,17.147
DELA,2019,10,19.72362656302805,36.864,4.901
DELA,2019,11,10.545558147632311,25.195,-5.587
DELA,2019,12,10.3822,24.793,-2.947
DELA,2020,1,11.011832542372881,23.676,-4.041
DELA,2020,2,12.414920341394026,25.773,0.858
DELA,2020,3,18.956876955903272,31.232,4.621
DELA,2020,4,17.36900092678406,28.799,4.813
DELA,2020,5,21.271359595959595,31.683,7.709
DELA,2020,6,25.41594919972164,34.528,16.901
DELA,2020,7,26.886430020283974,36.199,21.146
DELA,2020,8,26.79621867881549,35.435,21.082
DELA,2020,9,22.89725861468848,34.543,10.221
DELA,2020,10,18.647686475409834,30.435,5.558
DELA,2020,11,14.07701569037657,25.574,1.167
DELA,2020,12,7.788554843064461,22.71,-4.648
DELA,2021,1,7.429780175859313,25.229,-3.133
DELA,2021,2,9.03879365079365,28.765,-9.8
DELA,2021,3,15.163009665726943,29.694,0.767
DELA,2021,4,17.683628099173553,29.64,3.296
DELA,2021,5,21.163005751014886,32.753,11.783
DELA,2021,6,24.657702512934222,33.234,16.582
DELA,2021,7,25.457247138047137,34.504,18.965
DELA,2021,8,25.827266801075268,34.813,19.696
DELA,2021,9,22.991141232227488,33.295,12.375
DELA,2021,10,19.699623991935482,31.236,7.711
DELA,2021,11,11.59530392497395,25.428,-0.175
DELA,2021,12,14.615117943548388,28.454,-0.502
DELA,2022,1,7.169483198924731,27.629,-5.051
DELA,2022,2,10.52602273574357,27.345,-3.012
DELA,2022,3,14.960884433962264,28.429,-2.199
DELA,2022,4,17.989086231369765,29.651,4.521
DELA,2022,5,23.453165881561237,33.654,12.792
DELA,2022,6,26.61774643973602,36.28,18.702
DELA,2022,7,27.12707627688172,36.044,21.421
DELA,2022,8,25.77075369623656,35.418,21.464
DELA,2022,9,23.24190492045875,34.379,9.538
DELA,2022,10,17.098951948924732,29.429,1.602
DELA,2022,11,13.752252440725243,29.211,-2.369
DELA,2022,12,11.221150873655914,27.309,-10.412
DELA,2023,1,12.110133603238866,25.448,-1.304
DELA,2023,2,14.752597470238095,29.052,-0.151
DELA,2023,3,16.179380501015572,30.792,-2.051
DELA,2023,4,18.179866714958347,31.35,7.528
DELA,2023,5,21.509120142920946,33.937,8.693
DELA,2023,6,24.61696248124062,42.355,18.678
DELA,2023,7,26.2431111747851,35.463,20.963
DELA,2023,8,28.52240576230492,38.329,19.134
DELA,2023,9,24.1148065061259,34.675,14.784
DELA,2023,10,18.75168817204301,30.515,6.437
DELA,2023,11,12.988763541666666,27.748,-1.771
DELA,2023,12,10.091652889784946,24.958,-1.937
HARV,2016,1,-3.972027206370272,12.486,-18.264
HARV,2016,2,-2.413898634076204,15.111,-28.222
HARV,2016,3,3.0293088934148,22.833,-10.074
HARV,2016,4,6.600795266716754,25.302,-10.706
HARV,2016,5,13.098110887096775,30.673,0.539
HARV,2016,6,17.539934375,27.887,8.238
HARV,2016,7,20.85371171171171,31.01,10.292
HARV,2016,8,20.712005639097743,30.054,9.899
HARV,2016,9,16.232348591549297,27.703,3.354
HARV,2016,10,9.246070479704796,22.972,-2.852
