table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
RH_1min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,
RH_1min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,
RH_1min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,
RH_1min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,
RH_1min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
RH_1min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
RH_1min,RHMean,Arithmetic mean of relative humidity,real,percent,basic,*.##(round),NA,NA
RH_1min,RHMinimum,Minimum relative humidity,real,percent,basic,*.##(round),NA,NA
RH_1min,RHMaximum,Maximum relative humidity,real,percent,basic,*.##(round),NA,NA
RH_1min,RHVariance,Variance in relative humidity,real,percentSquared,basic,*.##(round),NA,NA
RH_1min,RHNumPts,Number of points used to calculate the arithmetic mean of relative humidity,real,number,basic,integer,NA,NA
RH_1min,RHExpUncert,Expanded uncertainty for relative humidity,real,percent,basic,*.##(round),NA,NA
RH_1min,RHStdErMean,Standard error of the mean for relative humidity,real,percent,basic,*.##(round),NA,NA
RH_1min,RHRangeFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHRangePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHRangeNAQM,"Relative humidity quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHPersistenceFailQM,"Relative humidity quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHPersistencePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHPersistenceNAQM,"Relative humidity quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHNullFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHNullPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHNullNAQM,"Relative humidity quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHGapFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHGapPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHGapNAQM,"Relative humidity quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHSpikeFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHSpikePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
RH_1min,RHSpikeNAQM,"Relative humidity quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
