uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF,publicationDate,release
4bc5e52c-e2c9-4c6f-bc84-09760e9af131,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-04-14T16:30:00Z,HARV.2016.15,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Ramundson@field-ops.org,NA,NA,20260107T161025Z,RELEASE-2026
50b3a0f1-6790-476d-b8b6-019c840beedf,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-04-14T17:19:00Z,HARV.2016.15,NA,NA,drag,165,N,0,0,0,No known compromise,NEON.DOC.014045vG,thillman@neoninc.org,NA,NA,20260107T161025Z,RELEASE-2026
595e40ab-f409-4a0e-823b-00f38f9634c9,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-04-14T18:02:00Z,HARV.2016.15,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Ramundson@field-ops.org,NA,NA,20260107T161025Z,RELEASE-2026
d821bbaf-164c-414c-a142-4bb4724cada8,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-04-14T18:43:00Z,HARV.2016.15,HARV_004.20160414,NA,drag and flag,160,Y,2,0,0,No known compromise,NEON.DOC.014045vG,thillman@neoninc.org,NA,NA,20260107T161025Z,RELEASE-2026
b91a9a46-ec9b-436b-b4c9-91f9a4c4ee2f,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-04-15T13:36:00Z,HARV.2016.15,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,thillman@neoninc.org,NA,NA,20260107T161025Z,RELEASE-2026
ff8c26f2-6e96-42a5-ad25-c660ef6c9978,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-04-15T14:40:00Z,HARV.2016.15,NA,NA,drag and flag,155,N,0,0,0,No known compromise,NEON.DOC.014045vG,Ramundson@field-ops.org,NA,NA,20260107T161025Z,RELEASE-2026
945184f7-ce47-49c8-a6e1-a8aaf8e7bb61,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-06-16T13:24:00Z,HARV.2016.24,HARV_022.20160616,NA,drag and flag,160,Y,0,5,0,No known compromise,NEON.DOC.014045vG,AUccello@field-ops.org,NA,NA,20260107T162629Z,RELEASE-2026
10b60996-0b52-4c8b-8cf5-e6df7817b89c,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-06-16T14:28:00Z,HARV.2016.24,HARV_004.20160616,NA,drag and flag,160,Y,0,9,6,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,field larva count higher than ID lab (PDE >25%),20260107T162629Z,RELEASE-2026
6c198ada-ca01-4e70-881a-a29a611aa3e8,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-06-16T15:39:00Z,HARV.2016.24,HARV_020.20160616,NA,drag and flag,160,Y,0,4,0,No known compromise,NEON.DOC.014045vG,AUccello@field-ops.org,NA,field nymph count higher than ID lab (PDE >25%),20260107T162629Z,RELEASE-2026
9ffe7d03-6e7e-4617-957d-91943af88002,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-06-16T16:25:00Z,HARV.2016.24,HARV_026.20160616,NA,drag and flag,160,Y,0,1,162,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,field larva count higher than ID lab (PDE >25%),20260107T162629Z,RELEASE-2026
