uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,collectDate,endDate,subsampleID,testedDate,testingID,batchID,individualCount,sampleCondition,testProtocolVersion,testResult,cqValue,testPathogenName,remarks,testedBy,laboratoryName,dnaSampleID,dnaSampleCode,extractRNAConcentration,extractDNAConcentration,publicationDate,release
053ff967-de59-4a2d-8a19-605580cb3c31,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.003,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Ehrlichia muris-like,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
4dd827f9-0ef7-4e11-8aaa-5c5cdd7b3b18,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.001,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Anaplasma phagocytophilum,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
a28be8d4-e45d-40ad-8b9d-783b42496ddc,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.002,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Babesia microti,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
79ac2b16-de7f-4e2a-b3e4-a3fb5b86f2d6,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.002,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Borrelia sp.,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
d0b9d4d9-95ba-42e8-a779-322f6b5eeb7c,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.002,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Ehrlichia muris-like,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
100e6d84-e830-4899-999a-323c1f4175b1,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.003,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Borrelia miyamotoi,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
9413860a-c4c2-44fe-a7e5-20cee2a150a1,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.003,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Borrelia sp.,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
dba45d97-e550-45c3-b6a1-3fa26f671e58,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.001,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Ehrlichia muris-like,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
140b98a4-c8ee-4dd6-9263-099d47acb8ea,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.003,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Negative,NA,Borrelia burgdorferi sensu lato,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
2ebfa42a-ba8c-4ab0-bcdf-e28fb1ebcb0d,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,2016-07-07T12:33:00Z,2016-07-07T13:28:00Z,HARV_022.20160707.IXOSCA.N,2017-09-14,HARV_022.20160707.IXOSCA.N.T.004,NEON_20170831,1,OK,UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf,Positive,NA,Borrelia sp.,NA,0IRskLNY9jFEdSE177Ndsw==,University of Massachusetts Laboratory of Medical Zoology,NA,NA,NA,NA,20251204T230635Z,RELEASE-2026
